x,E,N,z
0,259908.5199,4203114.507,3617.826172
0.026134399,259908.5092,4203114.531,3617.825195
0.052268798,259908.4986,4203114.555,3617.829102
0.078403198,259908.488,4203114.579,3617.828125
0.104537597,259908.4774,4203114.603,3617.833008
0.130671996,259908.4668,4203114.627,3617.831787
0.156806395,259908.4562,4203114.651,3617.831055
0.182940794,259908.4456,4203114.674,3617.836426
0.209075194,259908.4349,4203114.698,3617.835449
0.235209593,259908.4243,4203114.722,3617.841064
0.261343992,259908.4137,4203114.746,3617.8396
0.287478391,259908.4031,4203114.77,3617.847168
0.31361279,259908.3925,4203114.794,3617.845947
0.33974719,259908.3819,4203114.818,3617.854736
0.365881589,259908.3713,4203114.842,3617.853271
0.392015988,259908.3606,4203114.865,3617.852051
0.418150387,259908.35,4203114.889,3617.861816
0.444284786,259908.3394,4203114.913,3617.86084
0.470419186,259908.3288,4203114.937,3617.873291
0.496553585,259908.3182,4203114.961,3617.872803
0.522687984,259908.3076,4203114.985,3617.887451
0.548822383,259908.297,4203115.009,3617.887207
0.574956782,259908.2863,4203115.033,3617.905273
0.601091182,259908.2757,4203115.057,3617.906738
0.627225581,259908.2651,4203115.08,3617.908691
0.65335998,259908.2545,4203115.104,3617.932617
0.679494379,259908.2439,4203115.128,3617.934814
0.705628778,259908.2333,4203115.152,3617.95459
0.731763178,259908.2227,4203115.176,3617.956055
0.757897577,259908.212,4203115.2,3617.969238
0.784031976,259908.2014,4203115.224,3617.96875
0.810166375,259908.1908,4203115.248,3617.97998
0.836300774,259908.1802,4203115.271,3617.979736
0.862435174,259908.1696,4203115.295,3617.979248
0.888569573,259908.159,4203115.319,3617.987061
0.914703972,259908.1484,4203115.343,3617.986816
0.940838371,259908.1378,4203115.367,3617.991943
0.96697277,259908.1271,4203115.391,3617.991699
0.99310717,259908.1165,4203115.415,3617.996826
1.019241569,259908.1059,4203115.439,3617.99707
1.045375968,259908.0953,4203115.463,3618.002441
1.071510367,259908.0847,4203115.486,3618.002441
1.097644767,259908.0741,4203115.51,3618.002441
1.123779166,259908.0635,4203115.534,3618.006104
1.149913565,259908.0528,4203115.558,3618.005615
1.176047964,259908.0422,4203115.582,3618.008057
1.202182363,259908.0316,4203115.606,3618.007324
1.228316763,259908.021,4203115.63,3618.009521
1.254451162,259908.0104,4203115.654,3618.008301
1.280585561,259907.9998,4203115.677,3618.01001
