x,lon,lat,z
0,-107.730189,37.94724968,3478.141357
13.10954893,-107.7302599,37.94714582,3480.666748
26.21909786,-107.7303308,37.94704196,3484.95166
39.32864679,-107.7304017,37.9469381,3491.460205
52.43819573,-107.7304726,37.94683423,3495.126465
65.54774466,-107.7305436,37.94673037,3497.351318
78.65729359,-107.7306145,37.94662651,3501.022705
91.76684252,-107.7306854,37.94652265,3504.891113
91.76684252,-107.7306854,37.94652265,3504.891113
