x,E,N,z
3.427619398,255074.8666,4208576.703,3767.131104
3.457167841,255074.894,4208576.714,3767.131592
3.486716284,255074.9214,4208576.725,3767.128174
3.516264727,255074.9487,4208576.736,3767.124268
3.54581317,255074.9761,4208576.747,3767.124756
3.575361613,255075.0035,4208576.758,3767.120605
3.604910056,255075.0309,4208576.769,3767.121582
3.634458499,255075.0582,4208576.781,3767.116943
3.664006942,255075.0856,4208576.792,3767.112305
3.693555385,255075.113,4208576.803,3767.112793
3.723103829,255075.1404,4208576.814,3767.10791
3.752652272,255075.1677,4208576.825,3767.108887
3.782200715,255075.1951,4208576.836,3767.102783
3.811749158,255075.2225,4208576.847,3767.103516
3.841297601,255075.2499,4208576.858,3767.097656
3.870846044,255075.2772,4208576.869,3767.091797
3.900394487,255075.3046,4208576.881,3767.092041
3.92994293,255075.332,4208576.892,3767.085449
3.959491373,255075.3594,4208576.903,3767.084961
3.989039816,255075.3867,4208576.914,3767.078369
4.018588259,255075.4141,4208576.925,3767.071289
4.048136702,255075.4415,4208576.936,3767.070313
4.077685146,255075.4689,4208576.947,3767.063721
4.107233589,255075.4963,4208576.958,3767.061523
4.136782032,255075.5236,4208576.97,3767.053711
4.166330475,255075.551,4208576.981,3767.046631
4.195878918,255075.5784,4208576.992,3767.044678
4.225427361,255075.6058,4208577.003,3767.037354
4.254975804,255075.6331,4208577.014,3767.035156
4.284524247,255075.6605,4208577.025,3767.027588
4.31407269,255075.6879,4208577.036,3767.020508
4.343621133,255075.7153,4208577.047,3767.017822
4.373169576,255075.7426,4208577.059,3767.01123
4.402718019,255075.77,4208577.07,3767.009033
4.432266463,255075.7974,4208577.081,3767.002686
4.461814906,255075.8248,4208577.092,3766.99707
4.491363349,255075.8521,4208577.103,3766.994873
4.520911792,255075.8795,4208577.114,3766.989502
4.550460235,255075.9069,4208577.125,3766.987549
4.580008678,255075.9343,4208577.136,3766.982666
4.609557121,255075.9616,4208577.148,3766.978027
4.639105564,255075.989,4208577.159,3766.976074
4.668654007,255076.0164,4208577.17,3766.971191
4.69820245,255076.0438,4208577.181,3766.968994
4.727750893,255076.0711,4208577.192,3766.963867
4.757299336,255076.0985,4208577.203,3766.962158
4.78684778,255076.1259,4208577.214,3766.956543
4.816396223,255076.1533,4208577.225,3766.950439
4.845944666,255076.1806,4208577.236,3766.947754
4.875493109,255076.208,4208577.248,3766.941895
4.905041552,255076.2354,4208577.259,3766.939697
4.934589995,255076.2628,4208577.27,3766.933838
4.964138438,255076.2901,4208577.281,3766.928467
4.993686881,255076.3175,4208577.292,3766.92627
5.023235324,255076.3449,4208577.303,3766.921387
5.052783767,255076.3723,4208577.314,3766.919189
5.08233221,255076.3996,4208577.325,3766.915771
5.111880653,255076.427,4208577.337,3766.913818
5.141429097,255076.4544,4208577.348,3766.913818
5.17097754,255076.4818,4208577.359,3766.912842
5.200525983,255076.5092,4208577.37,3766.913086
5.230074426,255076.5365,4208577.381,3766.912354
5.259622869,255076.5639,4208577.392,3766.911865
5.289171312,255076.5913,4208577.403,3766.912109
5.318719755,255076.6187,4208577.414,3766.911865
5.348268198,255076.646,4208577.426,3766.912109
5.377816641,255076.6734,4208577.437,3766.911621
5.407365084,255076.7008,4208577.448,3766.911377
5.436913527,255076.7282,4208577.459,3766.911377
5.46646197,255076.7555,4208577.47,3766.911133
5.496010414,255076.7829,4208577.481,3766.911133
5.525558857,255076.8103,4208577.492,3766.910889
5.5551073,255076.8377,4208577.503,3766.9104
5.584655743,255076.865,4208577.515,3766.909668
5.614204186,255076.8924,4208577.526,3766.90918
