x,E,N,z
0,255159.6741,4208598.964,3758.714111
0.035824,255159.6467,4208598.941,3758.720703
0.071648,255159.6194,4208598.918,3758.729492
0.107472,255159.592,4208598.894,3758.740967
0.143296,255159.5646,4208598.871,3758.754395
0.17912,255159.5372,4208598.848,3758.768799
0.214944,255159.5098,4208598.825,3758.784424
0.250768,255159.4825,4208598.802,3758.789551
0.286592,255159.4551,4208598.779,3758.803467
0.322416,255159.4277,4208598.756,3758.814941
0.35824,255159.4003,4208598.733,3758.824463
0.394064,255159.3729,4208598.71,3758.833252
0.429888,255159.3456,4208598.687,3758.841797
0.465712,255159.3182,4208598.663,3758.844727
0.501536,255159.2908,4208598.64,3758.853271
0.53736,255159.2634,4208598.617,3758.861084
0.573184,255159.236,4208598.594,3758.869385
0.609008,255159.2087,4208598.571,3758.878174
0.644832,255159.1813,4208598.548,3758.886719
0.680656001,255159.1539,4208598.525,3758.889893
0.716480001,255159.1265,4208598.502,3758.897705
0.752304001,255159.0991,4208598.479,3758.904785
0.788128001,255159.0718,4208598.455,3758.911377
0.823952001,255159.0444,4208598.432,3758.916992
0.859776001,255159.017,4208598.409,3758.921387
0.895600001,255158.9896,4208598.386,3758.925781
0.931424001,255158.9622,4208598.363,3758.928223
0.967248001,255158.9349,4208598.34,3758.932861
1.003072001,255158.9075,4208598.317,3758.937012
1.038896001,255158.8801,4208598.294,3758.94043
1.074720001,255158.8527,4208598.271,3758.943359
1.110544001,255158.8253,4208598.248,3758.946045
1.146368001,255158.798,4208598.224,3758.947998
1.182192001,255158.7706,4208598.201,3758.949707
1.218016001,255158.7432,4208598.178,3758.951172
1.253840001,255158.7158,4208598.155,3758.952393
1.289664001,255158.6884,4208598.132,3758.953613
1.325488001,255158.6611,4208598.109,3758.954346
1.361312001,255158.6337,4208598.086,3758.955322
1.397136001,255158.6063,4208598.063,3758.956543
1.432960001,255158.5789,4208598.04,3758.957031
1.468784001,255158.5515,4208598.017,3758.957275
1.504608001,255158.5242,4208597.993,3758.956787
1.540432001,255158.4968,4208597.97,3758.955322
1.576256001,255158.4694,4208597.947,3758.952637
1.612080001,255158.442,4208597.924,3758.954102
1.647904001,255158.4146,4208597.901,3758.950684
1.683728001,255158.3873,4208597.878,3758.946777
1.719552001,255158.3599,4208597.855,3758.942139
1.755376001,255158.3325,4208597.832,3758.9375
1.791200001,255158.3051,4208597.809,3758.934326
1.827024001,255158.2777,4208597.786,3758.936279
1.862848001,255158.2504,4208597.762,3758.934082
1.898672001,255158.223,4208597.739,3758.932129
1.934496001,255158.1956,4208597.716,3758.930664
1.970320001,255158.1682,4208597.693,3758.929932
2.006144002,255158.1408,4208597.67,3758.929199
2.041968002,255158.1135,4208597.647,3758.928711
2.077792002,255158.0861,4208597.624,3758.931152
2.113616002,255158.0587,4208597.601,3758.93042
2.149440002,255158.0313,4208597.578,3758.929932
2.185264002,255158.0039,4208597.555,3758.929443
2.221088002,255157.9766,4208597.531,3758.928955
2.256912002,255157.9492,4208597.508,3758.928223
2.292736002,255157.9218,4208597.485,3758.93042
2.328560002,255157.8944,4208597.462,3758.929932
2.364384002,255157.867,4208597.439,3758.928955
2.400208002,255157.8397,4208597.416,3758.927979
2.436032002,255157.8123,4208597.393,3758.926758
2.471856002,255157.7849,4208597.37,3758.924805
2.507680002,255157.7575,4208597.347,3758.921387
2.543504002,255157.7301,4208597.324,3758.922363
2.579328002,255157.7028,4208597.3,3758.917969
2.615152002,255157.6754,4208597.277,3758.911621
2.650976002,255157.648,4208597.254,3758.903809
2.686800002,255157.6206,4208597.231,3758.895264
2.722624002,255157.5932,4208597.208,3758.887695
2.758448002,255157.5659,4208597.185,3758.887451
2.794272002,255157.5385,4208597.162,3758.87915
2.830096002,255157.5111,4208597.139,3758.870117
2.865920002,255157.4837,4208597.116,3758.861328
2.901744002,255157.4563,4208597.092,3758.852539
2.937568002,255157.429,4208597.069,3758.845703
2.973392002,255157.4016,4208597.046,3758.845215
3.009216002,255157.3742,4208597.023,3758.836914
3.045040002,255157.3468,4208597,3758.826416
3.080864002,255157.3194,4208596.977,3758.816406
3.116688002,255157.2921,4208596.954,3758.804932
3.152512002,255157.2647,4208596.931,3758.792725
3.188336002,255157.2373,4208596.908,3758.779785
3.224160002,255157.2099,4208596.885,3758.779785
3.259984002,255157.1825,4208596.861,3758.766602
3.295808002,255157.1552,4208596.838,3758.753906
3.331632003,255157.1278,4208596.815,3758.741455
3.367456003,255157.1004,4208596.792,3758.72998
3.403280003,255157.073,4208596.769,3758.719971
3.439104003,255157.0456,4208596.746,3758.723633
3.474928003,255157.0183,4208596.723,3758.714355
3.510752003,255156.9909,4208596.7,3758.70752
3.546576003,255156.9635,4208596.677,3758.701416
3.582400003,255156.9361,4208596.654,3758.696777
3.618224003,255156.9087,4208596.63,3758.69165
3.654048003,255156.8814,4208596.607,3758.688721
3.689872003,255156.854,4208596.584,3758.696045
3.725696003,255156.8266,4208596.561,3758.693604
3.761520003,255156.7992,4208596.538,3758.692871
3.797344003,255156.7718,4208596.515,3758.692871
3.833168003,255156.7445,4208596.492,3758.693604
3.868992003,255156.7171,4208596.469,3758.695068
3.904816003,255156.6897,4208596.446,3758.70459
3.940640003,255156.6623,4208596.423,3758.70752
3.976464003,255156.6349,4208596.399,3758.710449
4.012288003,255156.6076,4208596.376,3758.714111
4.048112003,255156.5802,4208596.353,3758.718018
4.083936003,255156.5528,4208596.33,3758.722168
4.119760003,255156.5254,4208596.307,3758.725342
4.155584003,255156.498,4208596.284,3758.734619
4.191408003,255156.4707,4208596.261,3758.736816
4.227232003,255156.4433,4208596.238,3758.738281
4.263056003,255156.4159,4208596.215,3758.739258
4.298880003,255156.3885,4208596.192,3758.739258
4.334704003,255156.3611,4208596.168,3758.739014
4.370528003,255156.3338,4208596.145,3758.74292
4.406352003,255156.3064,4208596.122,3758.741455
4.442176003,255156.279,4208596.099,3758.739502
4.478000003,255156.2516,4208596.076,3758.737549
4.513824003,255156.2242,4208596.053,3758.735596
4.549648003,255156.1969,4208596.03,3758.733643
4.585472003,255156.1695,4208596.007,3758.734863
4.621296003,255156.1421,4208595.984,3758.732422
4.657120004,255156.1147,4208595.96,3758.72998
4.692944004,255156.0873,4208595.937,3758.727539
4.728768004,255156.06,4208595.914,3758.724854
4.764592004,255156.0326,4208595.891,3758.722168
4.800416004,255156.0052,4208595.868,3758.719727
4.836240004,255155.9778,4208595.845,3758.719482
4.872064004,255155.9504,4208595.822,3758.716309
4.907888004,255155.9231,4208595.799,3758.712402
4.943712004,255155.8957,4208595.776,3758.707275
4.979536004,255155.8683,4208595.753,3758.700684
5.015360004,255155.8409,4208595.729,3758.691895
5.051184004,255155.8135,4208595.706,3758.688721
5.087008004,255155.7862,4208595.683,3758.677734
5.122832004,255155.7588,4208595.66,3758.665283
5.158656004,255155.7314,4208595.637,3758.652832
5.194480004,255155.704,4208595.614,3758.641846
5.230304004,255155.6766,4208595.591,3758.63208
5.266128004,255155.6493,4208595.568,3758.623047
5.301952004,255155.6219,4208595.545,3758.621582
5.337776004,255155.5945,4208595.522,3758.613281
5.373600004,255155.5671,4208595.498,3758.606445
5.409424004,255155.5397,4208595.475,3758.600586
5.445248004,255155.5124,4208595.452,3758.597168
