x,E,N,z
0.00E+00,255025.2566,4208462.163,3780.751465
3.76E-02,255025.2292,4208462.137,3780.781006
7.51E-02,255025.2018,4208462.111,3780.80542
1.13E-01,255025.1744,4208462.086,3780.81543
1.50E-01,255025.1469,4208462.06,3780.833008
1.88E-01,255025.1195,4208462.034,3780.848389
2.25E-01,255025.0921,4208462.008,3780.862061
2.63E-01,255025.0647,4208461.983,3780.877441
3.01E-01,255025.0373,4208461.957,3780.891846
3.38E-01,255025.0099,4208461.931,3780.908691
3.76E-01,255024.9825,4208461.906,3780.925781
4.13E-01,255024.9551,4208461.88,3780.945068
4.51E-01,255024.9277,4208461.854,3780.963135
4.88E-01,255024.9003,4208461.829,3780.980225
5.26E-01,255024.8729,4208461.803,3780.994141
5.64E-01,255024.8455,4208461.777,3781.006592
6.01E-01,255024.818,4208461.751,3781.020752
6.39E-01,255024.7906,4208461.726,3781.034424
6.76E-01,255024.7632,4208461.7,3781.049072
7.14E-01,255024.7358,4208461.674,3781.057129
7.51E-01,255024.7084,4208461.649,3781.073486
7.89E-01,255024.681,4208461.623,3781.088623
8.27E-01,255024.6536,4208461.597,3781.106201
8.64E-01,255024.6262,4208461.572,3781.121094
9.02E-01,255024.5988,4208461.546,3781.136475
9.39E-01,255024.5714,4208461.52,3781.151611
9.77E-01,255024.544,4208461.495,3781.166504
1.01E+00,255024.5166,4208461.469,3781.178955
1.05E+00,255024.4891,4208461.443,3781.191406
1.09E+00,255024.4617,4208461.417,3781.20459
1.13E+00,255024.4343,4208461.392,3781.219482
1.16E+00,255024.4069,4208461.366,3781.233154
1.20E+00,255024.3795,4208461.34,3781.248535
1.24E+00,255024.3521,4208461.315,3781.265137
1.28E+00,255024.3247,4208461.289,3781.28125
1.31E+00,255024.2973,4208461.263,3781.297119
1.35E+00,255024.2699,4208461.238,3781.304443
1.39E+00,255024.2425,4208461.212,3781.320068
1.43E+00,255024.2151,4208461.186,3781.334717
1.47E+00,255024.1877,4208461.16,3781.348877
1.50E+00,255024.1603,4208461.135,3781.362793
1.54E+00,255024.1328,4208461.109,3781.379639
1.58E+00,255024.1054,4208461.083,3781.396973
1.62E+00,255024.078,4208461.058,3781.4104
1.65E+00,255024.0506,4208461.032,3781.428467
1.69E+00,255024.0232,4208461.006,3781.446045
1.73E+00,255023.9958,4208460.981,3781.458008
1.77E+00,255023.9684,4208460.955,3781.468506
1.80E+00,255023.941,4208460.929,3781.477051
1.84E+00,255023.9136,4208460.904,3781.483398
1.88E+00,255023.8862,4208460.878,3781.48999
1.92E+00,255023.8588,4208460.852,3781.496338
1.95E+00,255023.8314,4208460.826,3781.498047
1.99E+00,255023.8039,4208460.801,3781.505859
2.03E+00,255023.7765,4208460.775,3781.513672
2.07E+00,255023.7491,4208460.749,3781.520264
2.10E+00,255023.7217,4208460.724,3781.526611
2.14E+00,255023.6943,4208460.698,3781.53125
2.18E+00,255023.6669,4208460.672,3781.536377
2.22E+00,255023.6395,4208460.647,3781.541748
2.25E+00,255023.6121,4208460.621,3781.546143
2.29E+00,255023.5847,4208460.595,3781.549805
2.33E+00,255023.5573,4208460.57,3781.55249
2.37E+00,255023.5299,4208460.544,3781.55542
2.40E+00,255023.5025,4208460.518,3781.558105
2.44E+00,255023.475,4208460.492,3781.560059
2.48E+00,255023.4476,4208460.467,3781.562988
2.52E+00,255023.4202,4208460.441,3781.564697
2.55E+00,255023.3928,4208460.415,3781.562988
2.59E+00,255023.3654,4208460.39,3781.565186
2.63E+00,255023.338,4208460.364,3781.56665
2.67E+00,255023.3106,4208460.338,3781.568115
2.70E+00,255023.2832,4208460.313,3781.570313
2.74E+00,255023.2558,4208460.287,3781.572266
2.78E+00,255023.2284,4208460.261,3781.574219
2.82E+00,255023.201,4208460.235,3781.57666
2.86E+00,255023.1736,4208460.21,3781.579834
2.89E+00,255023.1462,4208460.184,3781.582764
2.93E+00,255023.1187,4208460.158,3781.587158
2.97E+00,255023.0913,4208460.133,3781.59082
3.01E+00,255023.0639,4208460.107,3781.594727
3.04E+00,255023.0365,4208460.081,3781.599609
3.08E+00,255023.0091,4208460.056,3781.605469
3.12E+00,255022.9817,4208460.03,3781.61084
3.16E+00,255022.9543,4208460.004,3781.616455
3.19E+00,255022.9269,4208459.979,3781.617676
3.23E+00,255022.8995,4208459.953,3781.625977
3.27E+00,255022.8721,4208459.927,3781.635254
3.31E+00,255022.8447,4208459.901,3781.647217
3.34E+00,255022.8173,4208459.876,3781.659668
3.38E+00,255022.7898,4208459.85,3781.673828
3.42E+00,255022.7624,4208459.824,3781.687744
3.46E+00,255022.735,4208459.799,3781.702148
3.49E+00,255022.7076,4208459.773,3781.717041
3.53E+00,255022.6802,4208459.747,3781.73291
3.57E+00,255022.6528,4208459.722,3781.749268
3.61E+00,255022.6254,4208459.696,3781.764893
3.64E+00,255022.598,4208459.67,3781.780029
3.68E+00,255022.5706,4208459.644,3781.795898
3.72E+00,255022.5432,4208459.619,3781.813477
3.76E+00,255022.5158,4208459.593,3781.830811
3.79E+00,255022.4884,4208459.567,3781.840088
3.83E+00,255022.4609,4208459.542,3781.85791
3.87E+00,255022.4335,4208459.516,3781.880859
3.91E+00,255022.4061,4208459.49,3781.901855
3.94E+00,255022.3787,4208459.465,3781.921387
3.98E+00,255022.3513,4208459.439,3781.94043
4.02E+00,255022.3239,4208459.413,3781.95752
4.06E+00,255022.2965,4208459.388,3781.974365
4.10E+00,255022.2691,4208459.362,3781.990234
4.13E+00,255022.2417,4208459.336,3782.005615
4.17E+00,255022.2143,4208459.31,3782.018311
4.21E+00,255022.1869,4208459.285,3782.031982
4.25E+00,255022.1595,4208459.259,3782.04541
4.28E+00,255022.1321,4208459.233,3782.061035
4.32E+00,255022.1046,4208459.208,3782.076416
4.36E+00,255022.0772,4208459.182,3782.089111
4.40E+00,255022.0498,4208459.156,3782.097168
4.43E+00,255022.0224,4208459.131,3782.109375
4.47E+00,255021.995,4208459.105,3782.120361
4.51E+00,255021.9676,4208459.079,3782.12915
4.55E+00,255021.9402,4208459.053,3782.137451
4.58E+00,255021.9128,4208459.028,3782.144775
4.62E+00,255021.8854,4208459.002,3782.153076
4.66E+00,255021.858,4208458.976,3782.161865
4.70E+00,255021.8306,4208458.951,3782.17041
4.73E+00,255021.8032,4208458.925,3782.179199
4.77E+00,255021.7757,4208458.899,3782.189453
4.81E+00,255021.7483,4208458.874,3782.198975
4.85E+00,255021.7209,4208458.848,3782.209229
4.88E+00,255021.6935,4208458.822,3782.218994
4.92E+00,255021.6661,4208458.797,3782.228271
4.96E+00,255021.6387,4208458.771,3782.239258
5.00E+00,255021.6113,4208458.745,3782.25
5.03E+00,255021.5839,4208458.719,3782.257324
5.07E+00,255021.5565,4208458.694,3782.267578
5.11E+00,255021.5291,4208458.668,3782.276855
5.15E+00,255021.5017,4208458.642,3782.2854
5.18E+00,255021.4743,4208458.617,3782.294189
5.22E+00,255021.4468,4208458.591,3782.302979
5.26E+00,255021.4194,4208458.565,3782.311768
5.30E+00,255021.392,4208458.54,3782.32251
5.33E+00,255021.3646,4208458.514,3782.335205
5.37E+00,255021.3372,4208458.488,3782.348877
5.41E+00,255021.3098,4208458.463,3782.364746
5.45E+00,255021.2824,4208458.437,3782.382568
5.49E+00,255021.255,4208458.411,3782.401855
5.52E+00,255021.2276,4208458.385,3782.419922
5.56E+00,255021.2002,4208458.36,3782.44043
5.60E+00,255021.1728,4208458.334,3782.456543
5.64E+00,255021.1454,4208458.308,3782.467529
5.67E+00,255021.1179,4208458.283,3782.485596
5.71E+00,255021.0905,4208458.257,3782.500732
5.75E+00,255021.0631,4208458.231,3782.515137
5.79E+00,255021.0357,4208458.206,3782.529297
5.82E+00,255021.0083,4208458.18,3782.544189
5.86E+00,255020.9809,4208458.154,3782.558838
5.90E+00,255020.9535,4208458.128,3782.575928
5.94E+00,255020.9261,4208458.103,3782.593018
5.97E+00,255020.8987,4208458.077,3782.61084
6.01E+00,255020.8713,4208458.051,3782.629639
6.05E+00,255020.8439,4208458.026,3782.64624
6.09E+00,255020.8165,4208458,3782.662109
6.12E+00,255020.7891,4208457.974,3782.67627
6.16E+00,255020.7616,4208457.949,3782.691895
6.20E+00,255020.7342,4208457.923,3782.705078
6.24E+00,255020.7068,4208457.897,3782.70874
6.27E+00,255020.6794,4208457.872,3782.72168
6.31E+00,255020.652,4208457.846,3782.73291
6.35E+00,255020.6246,4208457.82,3782.744141
6.39E+00,255020.5972,4208457.794,3782.754883
6.42E+00,255020.5698,4208457.769,3782.765381
6.46E+00,255020.5424,4208457.743,3782.775879
6.50E+00,255020.515,4208457.717,3782.787109
6.54E+00,255020.4876,4208457.692,3782.797852
6.57E+00,255020.4602,4208457.666,3782.806885
6.61E+00,255020.4327,4208457.64,3782.815186
6.65E+00,255020.4053,4208457.615,3782.823975
6.69E+00,255020.3779,4208457.589,3782.833008
6.72E+00,255020.3505,4208457.563,3782.841553
6.76E+00,255020.3231,4208457.537,3782.849854
6.80E+00,255020.2957,4208457.512,3782.858643
6.84E+00,255020.2683,4208457.486,3782.867188
6.88E+00,255020.2409,4208457.46,3782.869385
6.91E+00,255020.2135,4208457.435,3782.878906
6.95E+00,255020.1861,4208457.409,3782.887207
6.99E+00,255020.1587,4208457.383,3782.895996
7.03E+00,255020.1313,4208457.358,3782.903809
7.06E+00,255020.1038,4208457.332,3782.91333
7.10E+00,255020.0764,4208457.306,3782.921631
7.14E+00,255020.049,4208457.281,3782.93042
7.18E+00,255020.0216,4208457.255,3782.939697
7.21E+00,255019.9942,4208457.229,3782.949219
7.25E+00,255019.9668,4208457.203,3782.959229
7.29E+00,255019.9394,4208457.178,3782.96875
7.32E+00,255019.9119,4208457.166,3782.973389
7.35E+00,255019.8845,4208457.155,3782.983398
7.38E+00,255019.857,4208457.143,3782.988281
7.41E+00,255019.8296,4208457.132,3782.99292
7.44E+00,255019.8021,4208457.12,3783.002686
7.47E+00,255019.7747,4208457.108,3783.006836
7.50E+00,255019.7472,4208457.097,3783.015869
7.53E+00,255019.7198,4208457.085,3783.019775
7.56E+00,255019.6923,4208457.074,3783.028564
7.59E+00,255019.6649,4208457.062,3783.031738
7.62E+00,255019.6374,4208457.051,3783.0354
7.65E+00,255019.61,4208457.039,3783.044434
7.68E+00,255019.5825,4208457.027,3783.048096
7.71E+00,255019.5551,4208457.016,3783.057129
7.74E+00,255019.5276,4208457.004,3783.060303
7.77E+00,255019.5002,4208456.993,3783.070557
7.79E+00,255019.4727,4208456.981,3783.074951
7.82E+00,255019.4452,4208456.97,3783.079346
7.85E+00,255019.4178,4208456.958,3783.089844
7.88E+00,255019.3903,4208456.947,3783.093994
7.91E+00,255019.3629,4208456.935,3783.104736
7.94E+00,255019.3354,4208456.923,3783.110107
7.97E+00,255019.308,4208456.912,3783.114502
8.00E+00,255019.2805,4208456.9,3783.123291
8.03E+00,255019.2531,4208456.889,3783.127686
8.06E+00,255019.2256,4208456.877,3783.13623
8.09E+00,255019.1982,4208456.866,3783.139648
8.12E+00,255019.1707,4208456.854,3783.147949
8.15E+00,255019.1433,4208456.843,3783.151855
8.18E+00,255019.1158,4208456.831,3783.155762
8.21E+00,255019.0884,4208456.819,3783.162598
8.24E+00,255019.0609,4208456.808,3783.165771
8.27E+00,255019.0335,4208456.796,3783.171875
8.30E+00,255019.006,4208456.785,3783.174316
8.33E+00,255018.9786,4208456.773,3783.179443
8.36E+00,255018.9511,4208456.762,3783.182129
8.39E+00,255018.9236,4208456.75,3783.184814
8.42E+00,255018.8962,4208456.739,3783.19165
8.45E+00,255018.8687,4208456.727,3783.195313
8.48E+00,255018.8413,4208456.715,3783.203369
8.51E+00,255018.8138,4208456.704,3783.207031
8.54E+00,255018.7864,4208456.692,3783.217041
8.57E+00,255018.7589,4208456.681,3783.221436
8.60E+00,255018.7315,4208456.669,3783.226318
8.63E+00,255018.704,4208456.658,3783.237549
8.66E+00,255018.6766,4208456.646,3783.242432
8.69E+00,255018.6491,4208456.634,3783.253418
8.72E+00,255018.6217,4208456.623,3783.258057
8.75E+00,255018.5942,4208456.611,3783.263916
8.78E+00,255018.5668,4208456.6,3783.273926
8.81E+00,255018.5393,4208456.588,3783.278564
8.84E+00,255018.5119,4208456.577,3783.287109
8.87E+00,255018.4844,4208456.565,3783.290771
8.90E+00,255018.4569,4208456.554,3783.298096
8.93E+00,255018.4295,4208456.542,3783.301758
8.96E+00,255018.402,4208456.53,3783.30542
8.99E+00,255018.3746,4208456.519,3783.311279
9.02E+00,255018.3471,4208456.507,3783.314697
9.05E+00,255018.3197,4208456.496,3783.31958
9.08E+00,255018.2922,4208456.484,3783.32251
9.11E+00,255018.2648,4208456.473,3783.32666
9.14E+00,255018.2373,4208456.461,3783.327393
9.17E+00,255018.2099,4208456.45,3783.328125
9.19E+00,255018.1824,4208456.438,3783.329834
9.22E+00,255018.155,4208456.426,3783.330322
9.25E+00,255018.1275,4208456.415,3783.331787
9.28E+00,255018.1001,4208456.403,3783.332275
9.31E+00,255018.0726,4208456.392,3783.333496
9.34E+00,255018.0452,4208456.38,3783.33374
9.37E+00,255018.0177,4208456.369,3783.333496
9.40E+00,255017.9902,4208456.357,3783.334717
9.43E+00,255017.9628,4208456.345,3783.334473
9.46E+00,255017.9353,4208456.334,3783.335693
9.49E+00,255017.9079,4208456.322,3783.334961
9.52E+00,255017.8804,4208456.311,3783.334473
9.55E+00,255017.853,4208456.299,3783.334473
9.58E+00,255017.8255,4208456.288,3783.332275
9.61E+00,255017.7981,4208456.276,3783.332275
9.64E+00,255017.7706,4208456.265,3783.329834
9.67E+00,255017.7432,4208456.253,3783.330078
9.70E+00,255017.7157,4208456.241,3783.327881
9.73E+00,255017.6883,4208456.23,3783.325439
9.76E+00,255017.6608,4208456.218,3783.325928
9.79E+00,255017.6334,4208456.207,3783.324219
9.82E+00,255017.6059,4208456.195,3783.325195
9.85E+00,255017.5785,4208456.184,3783.323242
9.88E+00,255017.551,4208456.172,3783.325195
9.91E+00,255017.5236,4208456.161,3783.323486
9.94E+00,255017.4961,4208456.149,3783.322021
9.97E+00,255017.4686,4208456.137,3783.324463
1.00E+01,255017.4412,4208456.126,3783.323242
1.00E+01,255017.4137,4208456.114,3783.32666
1.01E+01,255017.3863,4208456.103,3783.325684
1.01E+01,255017.3588,4208456.091,3783.325195
1.01E+01,255017.3314,4208456.08,3783.329102
1.01E+01,255017.3039,4208456.068,3783.329102
1.02E+01,255017.2765,4208456.057,3783.334473
1.02E+01,255017.249,4208456.045,3783.334473
1.02E+01,255017.2216,4208456.033,3783.341797
1.03E+01,255017.1941,4208456.022,3783.343506
1.03E+01,255017.1667,4208456.01,3783.343994
1.03E+01,255017.1392,4208455.999,3783.35376
1.04E+01,255017.1118,4208455.987,3783.354736
1.04E+01,255017.0843,4208455.976,3783.365967
1.04E+01,255017.0569,4208455.964,3783.367188
1.04E+01,255017.0294,4208455.952,3783.378418
1.05E+01,255017.0019,4208455.941,3783.380371
1.05E+01,255016.9745,4208455.929,3783.38208
1.05E+01,255016.947,4208455.918,3783.391113
1.06E+01,255016.9196,4208455.906,3783.394531
1.06E+01,255016.8921,4208455.895,3783.405273
1.06E+01,255016.8647,4208455.883,3783.40625
1.07E+01,255016.8372,4208455.872,3783.414551
1.07E+01,255016.8098,4208455.86,3783.416504
1.07E+01,255016.7823,4208455.848,3783.420166
1.07E+01,255016.7549,4208455.837,3783.427979
1.08E+01,255016.7274,4208455.825,3783.43042
1.08E+01,255016.7,4208455.814,3783.439941
1.08E+01,255016.6725,4208455.802,3783.442139
10.86287284,255016.6451,4208455.791,3783.445068
10.89265991,255016.6176,4208455.779,3783.45459
10.92244698,255016.5902,4208455.768,3783.457764
10.95223404,255016.5627,4208455.756,3783.466553
10.98202111,255016.5353,4208455.744,3783.469971
11.01180818,255016.5078,4208455.733,3783.476563
11.04159525,255016.4803,4208455.721,3783.480225
11.07138232,255016.4529,4208455.71,3783.482666
11.10116938,255016.4254,4208455.698,3783.489746
11.13095645,255016.398,4208455.687,3783.493408
11.16074352,255016.3705,4208455.675,3783.502441
11.19053059,255016.3431,4208455.664,3783.508545
11.22031766,255016.3156,4208455.652,3783.519043
11.25010473,255016.2882,4208455.64,3783.525391
11.27989179,255016.2607,4208455.629,3783.531738
11.30967886,255016.2333,4208455.617,3783.543701
11.33946593,255016.2058,4208455.606,3783.551758
11.369253,255016.1784,4208455.594,3783.564941
11.39904007,255016.1509,4208455.583,3783.573486
11.42882713,255016.1235,4208455.571,3783.580811
11.4586142,255016.096,4208455.559,3783.593262
11.48840127,255016.0686,4208455.548,3783.602295
11.51818834,255016.0411,4208455.536,3783.615234
11.54797541,255016.0136,4208455.525,3783.624268
11.57776248,255015.9862,4208455.513,3783.634766
11.60754954,255015.9587,4208455.502,3783.643066
11.63733661,255015.9313,4208455.49,3783.649658
11.66712368,255015.9038,4208455.479,3783.657959
11.69691075,255015.8764,4208455.467,3783.664551
11.72669782,255015.8489,4208455.455,3783.673096
11.75648488,255015.8215,4208455.444,3783.680176
11.78627195,255015.794,4208455.432,3783.688965
11.81605902,255015.7666,4208455.421,3783.696289
11.84584609,255015.7391,4208455.409,3783.703125
11.87563316,255015.7117,4208455.398,3783.712891
11.90542023,255015.6842,4208455.386,3783.721191
11.93520729,255015.6568,4208455.375,3783.732422
11.96499436,255015.6293,4208455.363,3783.73999
11.99478143,255015.6019,4208455.351,3783.751221
12.0245685,255015.5744,4208455.34,3783.759033
12.05435557,255015.5469,4208455.328,3783.766602
12.08414263,255015.5195,4208455.317,3783.776855
12.1139297,255015.492,4208455.305,3783.784424
12.14371677,255015.4646,4208455.294,3783.797119
12.17350384,255015.4371,4208455.282,3783.804688
12.20329091,255015.4097,4208455.27,3783.813721
12.23307798,255015.3822,4208455.259,3783.827881
12.26286504,255015.3548,4208455.247,3783.837891
12.29265211,255015.3273,4208455.236,3783.853027
12.32243918,255015.2999,4208455.224,3783.863281
12.35222625,255015.2724,4208455.213,3783.881592
12.38201332,255015.245,4208455.201,3783.892578
12.41180038,255015.2175,4208455.19,3783.902588
12.44158745,255015.1901,4208455.178,3783.92041
12.47137452,255015.1626,4208455.166,3783.930908
12.50116159,255015.1352,4208455.155,3783.948975
12.53094866,255015.1077,4208455.143,3783.956543
12.56073573,255015.0803,4208455.132,3783.973145
12.59052279,255015.0528,4208455.12,3783.981201
12.62030986,255015.0253,4208455.109,3783.98584
12.65009693,255014.9979,4208455.097,3784
12.679884,255014.9704,4208455.086,3784.004395
12.70967107,255014.943,4208455.074,3784.016846
12.73945813,255014.9155,4208455.062,3784.02002
12.7692452,255014.8881,4208455.051,3784.022217
12.79903227,255014.8606,4208455.039,3784.032715
12.82881934,255014.8332,4208455.028,3784.034668
12.85860641,255014.8057,4208455.016,3784.04248
12.88839348,255014.7783,4208455.005,3784.044189
12.91818054,255014.7508,4208454.993,3784.050781
12.94796761,255014.7234,4208454.982,3784.051514
12.97775468,255014.6959,4208454.97,3784.052734
13.00754175,255014.6685,4208454.958,3784.059082
13.03732882,255014.641,4208454.947,3784.059082
13.06711588,255014.6136,4208454.935,3784.063965
13.09690295,255014.5861,4208454.924,3784.063232
13.12669002,255014.5586,4208454.912,3784.067627
13.15647709,255014.5312,4208454.901,3784.067139
13.18626416,255014.5037,4208454.889,3784.067139
13.21605123,255014.4763,4208454.877,3784.070557
13.24583829,255014.4488,4208454.866,3784.070313
13.27562536,255014.4214,4208454.854,3784.07373
13.30541243,255014.3939,4208454.843,3784.073486
13.3351995,255014.3665,4208454.831,3784.077148
13.36498657,255014.339,4208454.82,3784.076904
13.39477363,255014.3116,4208454.808,3784.076904
