x,E,N,z
2.943863367,260101.8006,4203475.446,3507.53418
2.969024592,260101.7927,4203475.422,3507.535156
2.994185818,260101.7847,4203475.399,3507.536865
3.019347043,260101.7767,4203475.375,3507.539795
3.044508269,260101.7688,4203475.351,3507.543213
3.069669494,260101.7608,4203475.327,3507.547607
3.094830719,260101.7529,4203475.303,3507.557129
3.119991945,260101.7449,4203475.279,3507.565674
3.14515317,260101.737,4203475.255,3507.574463
3.170314395,260101.729,4203475.232,3507.58667
3.195475621,260101.721,4203475.208,3507.592041
3.220636846,260101.7131,4203475.184,3507.596436
3.245798071,260101.7051,4203475.16,3507.601318
3.270959297,260101.6972,4203475.136,3507.603516
3.296120522,260101.6892,4203475.112,3507.605469
3.321281747,260101.6813,4203475.088,3507.60791
3.346442973,260101.6733,4203475.064,3507.608887
3.371604198,260101.6653,4203475.041,3507.609863
3.396765424,260101.6574,4203475.017,3507.611816
3.421926649,260101.6494,4203474.993,3507.613037
3.447087874,260101.6415,4203474.969,3507.614258
3.4722491,260101.6335,4203474.945,3507.617432
3.497410325,260101.6256,4203474.921,3507.620605
3.52257155,260101.6176,4203474.897,3507.625244
3.547732776,260101.6096,4203474.873,3507.634766
3.572894001,260101.6017,4203474.85,3507.643555
3.598055226,260101.5937,4203474.826,3507.653809
3.623216452,260101.5858,4203474.802,3507.661865
3.648377677,260101.5778,4203474.778,3507.666748
3.673538903,260101.5699,4203474.754,3507.669434
3.698700128,260101.5619,4203474.73,3507.670654
3.723861353,260101.554,4203474.706,3507.671387
3.749022579,260101.546,4203474.683,3507.671875
3.774183804,260101.538,4203474.659,3507.672363
3.799345029,260101.5301,4203474.635,3507.672607
3.824506255,260101.5221,4203474.611,3507.672852
3.84966748,260101.5142,4203474.587,3507.672852
3.874828705,260101.5062,4203474.563,3507.673096
3.899989931,260101.4983,4203474.539,3507.673096
3.925151156,260101.4903,4203474.515,3507.67334
3.950312381,260101.4823,4203474.492,3507.673584
3.975473607,260101.4744,4203474.468,3507.673584
4.000634832,260101.4664,4203474.444,3507.673584
4.025796058,260101.4585,4203474.42,3507.673828
4.050957283,260101.4505,4203474.396,3507.674072
4.076118508,260101.4426,4203474.372,3507.674072
4.101279734,260101.4346,4203474.348,3507.674561
4.126440959,260101.4266,4203474.324,3507.675049
4.151602184,260101.4187,4203474.301,3507.675293
4.17676341,260101.4107,4203474.277,3507.676514
4.201924635,260101.4028,4203474.253,3507.678467
4.22708586,260101.3948,4203474.229,3507.679199
4.252247086,260101.3869,4203474.205,3507.68042
4.277408311,260101.3789,4203474.181,3507.681152
4.302569537,260101.3709,4203474.157,3507.681641
4.327730762,260101.363,4203474.134,3507.682617
4.352891987,260101.355,4203474.11,3507.684082
4.378053213,260101.3471,4203474.086,3507.684814
4.403214438,260101.3391,4203474.062,3507.686768
4.428375663,260101.3312,4203474.038,3507.688965
4.453536889,260101.3232,4203474.014,3507.689941
4.478698114,260101.3153,4203473.99,3507.692139
4.503859339,260101.3073,4203473.966,3507.694336
4.529020565,260101.2993,4203473.943,3507.696045
4.55418179,260101.2914,4203473.919,3507.698975
4.579343015,260101.2834,4203473.895,3507.701904
4.604504241,260101.2755,4203473.871,3507.706787
4.629665466,260101.2675,4203473.847,3507.711914
4.654826692,260101.2596,4203473.823,3507.71582
4.679987917,260101.2516,4203473.799,3507.719238
4.705149142,260101.2436,4203473.775,3507.721436
4.730310368,260101.2357,4203473.752,3507.7229
4.755471593,260101.2277,4203473.728,3507.723877
4.780632818,260101.2198,4203473.704,3507.724854
4.805794044,260101.2118,4203473.68,3507.726318
4.830955269,260101.2039,4203473.656,3507.728027
4.856116494,260101.1959,4203473.632,3507.729736
4.88127772,260101.1879,4203473.608,3507.731934
4.906438945,260101.18,4203473.584,3507.734863
4.931600171,260101.172,4203473.561,3507.737305
4.956761396,260101.1641,4203473.537,3507.73999
4.981922621,260101.1561,4203473.513,3507.744629
5.007083847,260101.1482,4203473.489,3507.747314
