"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,0.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,-0.500,0.000,0.000,0.500,0.000,63.500,"0x0",47816.5859375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
2,0.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,-0.250,0.000,0.000,0.750,0.000,63.500,"0x0",47822.02734375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
3,0.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,1.000,0.000,63.500,"0x0",47826.75390625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
4,0.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.250,0.000,0.000,1.250,0.000,63.500,"0x0",47830.6953125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
5,1.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.500,0.000,0.000,1.500,0.000,63.500,"0x0",47834.73046875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
6,1.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.750,0.000,0.000,1.750,0.000,63.500,"0x0",47839.2109375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
7,1.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.000,0.000,0.000,2.000,0.000,63.500,"0x0",47844.55859375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
8,1.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.250,0.000,0.000,2.250,0.000,63.500,"0x0",47848.53125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
9,2.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.500,0.000,0.000,2.500,0.000,63.500,"0x0",47853.34375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
10,2.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.750,0.000,0.000,2.750,0.000,63.500,"0x0",47858.0703125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
11,2.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.000,0.000,0.000,3.000,0.000,63.500,"0x0",47866.82421875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
12,2.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.250,0.000,0.000,3.250,0.000,63.500,"0x0",47872.62890625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
13,3.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.500,0.000,0.000,3.500,0.000,63.500,"0x0",47877.35546875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
14,3.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.750,0.000,0.000,3.750,0.000,63.500,"0x0",47881.80078125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
15,3.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.000,0.000,0.000,4.000,0.000,63.500,"0x0",47887.8515625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
16,3.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.250,0.000,0.000,4.250,0.000,63.500,"0x0",47892.72265625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
17,4.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.500,0.000,0.000,4.500,0.000,63.500,"0x0",47898.6875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
18,4.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.750,0.000,0.000,4.750,0.000,63.500,"0x0",47906.53125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
19,4.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,4.000,0.000,0.000,5.000,0.000,63.500,"0x0",47912.3515625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
20,4.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,4.250,0.000,0.000,5.250,0.000,63.500,"0x0",47917.09375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
21,5.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,4.500,0.000,0.000,5.500,0.000,63.500,"0x0",47921.83984375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
22,5.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,4.750,0.000,0.000,5.750,0.000,63.500,"0x0",47927.2578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
23,5.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,5.000,0.000,0.000,6.000,0.000,63.500,"0x0",47932.4921875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
24,5.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,5.250,0.000,0.000,6.250,0.000,63.500,"0x0",47936.90625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
25,6.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,5.500,0.000,0.000,6.500,0.000,63.500,"0x0",47943.14453125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
26,6.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,5.750,0.000,0.000,6.750,0.000,63.500,"0x0",47948.9140625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
27,6.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,6.000,0.000,0.000,7.000,0.000,63.500,"0x0",47957.1484375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
28,6.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,6.250,0.000,0.000,7.250,0.000,63.500,"0x0",47964.64453125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
29,7.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,6.500,0.000,0.000,7.500,0.000,63.500,"0x0",47972.45703125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
30,7.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,6.750,0.000,0.000,7.750,0.000,63.500,"0x0",47977.74609375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
31,7.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,7.000,0.000,0.000,8.000,0.000,63.500,"0x0",47983.375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
32,7.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,7.250,0.000,0.000,8.250,0.000,63.500,"0x0",47988.71484375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
33,8.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,7.500,0.000,0.000,8.500,0.000,63.500,"0x0",47992.6640625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
34,8.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,7.750,0.000,0.000,8.750,0.000,63.500,"0x0",47997.44921875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
35,8.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,8.000,0.000,0.000,9.000,0.000,63.500,"0x0",48001.890625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
36,8.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,8.250,0.000,0.000,9.250,0.000,63.500,"0x0",48005.87890625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
37,9.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,8.500,0.000,0.000,9.500,0.000,63.500,"0x0",48010.8828125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
38,9.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,8.750,0.000,0.000,9.750,0.000,63.500,"0x0",48016.25390625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
39,9.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,9.000,0.000,0.000,10.000,0.000,63.500,"0x0",48020.9375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
40,9.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,9.250,0.000,0.000,10.250,0.000,63.500,"0x0",48025.4921875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
41,10.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,9.500,0.000,0.000,10.500,0.000,63.500,"0x0",48029.92578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
42,10.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,9.750,0.000,0.000,10.750,0.000,63.500,"0x0",48034.92578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
43,10.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,10.000,0.000,0.000,11.000,0.000,63.500,"0x0",48038.5234375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
44,10.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,10.250,0.000,0.000,11.250,0.000,63.500,"0x0",48044.02734375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
45,11.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,10.500,0.000,0.000,11.500,0.000,63.500,"0x0",48048.35546875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
46,11.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,10.750,0.000,0.000,11.750,0.000,63.500,"0x0",48052.76953125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
47,11.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,11.000,0.000,0.000,12.000,0.000,63.500,"0x0",48056.3125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
48,11.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,11.250,0.000,0.000,12.250,0.000,63.500,"0x0",48060.3125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
49,12.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,11.500,0.000,0.000,12.500,0.000,63.500,"0x0",48069.03125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
