"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,0.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,-0.500,0.000,0.000,0.500,0.000,63.500,"0x0",43401.3515625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
2,0.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,-0.250,0.000,0.000,0.750,0.000,63.500,"0x0",43407.5,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
3,0.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,1.000,0.000,63.500,"0x0",43411.57421875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
4,0.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.250,0.000,0.000,1.250,0.000,63.500,"0x0",43415.31640625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
5,1.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.500,0.000,0.000,1.500,0.000,63.500,"0x0",43418.3359375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
6,1.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.750,0.000,0.000,1.750,0.000,63.500,"0x0",43422.1328125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
7,1.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.000,0.000,0.000,2.000,0.000,63.500,"0x0",43424.68359375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
8,1.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.250,0.000,0.000,2.250,0.000,63.500,"0x0",43427.9296875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
9,2.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.500,0.000,0.000,2.500,0.000,63.500,"0x0",43431.3359375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
10,2.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.750,0.000,0.000,2.750,0.000,63.500,"0x0",43434.7265625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
11,2.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.000,0.000,0.000,3.000,0.000,63.500,"0x0",43437.96875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
12,2.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.250,0.000,0.000,3.250,0.000,63.500,"0x0",43441.5390625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
13,3.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.500,0.000,0.000,3.500,0.000,63.500,"0x0",43445.52734375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
14,3.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.750,0.000,0.000,3.750,0.000,63.500,"0x0",43448.6953125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
15,3.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.000,0.000,0.000,4.000,0.000,63.500,"0x0",43452.65234375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
16,3.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.250,0.000,0.000,4.250,0.000,63.500,"0x0",43456.33984375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
17,4.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.500,0.000,0.000,4.500,0.000,63.500,"0x0",43462.06640625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
