x,E,N,z,base_h,base_z
3.57,255022.6528,4208459.722,3781.749268,37.78439428,3743.964874
3.61,255022.6254,4208459.696,3781.764893,37.7764107,3743.988482
3.64,255022.598,4208459.67,3781.780029,37.77042301,3744.009606
3.68,255022.5706,4208459.644,3781.795898,37.76243943,3744.033459
3.72,255022.5432,4208459.619,3781.813477,37.75445585,3744.059021
3.76,255022.5158,4208459.593,3781.830811,37.74647226,3744.084339
3.79,255022.4884,4208459.567,3781.840088,37.74048458,3744.099603
3.83,255022.4609,4208459.542,3781.85791,37.73250099,3744.125409
3.87,255022.4335,4208459.516,3781.880859,37.72451741,3744.156342
3.91,255022.4061,4208459.49,3781.901855,37.71653383,3744.185321
3.94,255022.3787,4208459.465,3781.921387,37.71054614,3744.210841
3.98,255022.3513,4208459.439,3781.94043,37.70256256,3744.237867
4.02,255022.3239,4208459.413,3781.95752,37.69457898,3744.262941
4.06,255022.2965,4208459.388,3781.974365,37.68659539,3744.28777
4.1,255022.2691,4208459.362,3781.990234,37.67861181,3744.311622
4.13,255022.2417,4208459.336,3782.005615,37.67262412,3744.332991
4.17,255022.2143,4208459.31,3782.018311,37.66464054,3744.35367
4.21,255022.1869,4208459.285,3782.031982,37.65665696,3744.375325
4.25,255022.1595,4208459.259,3782.04541,37.64867337,3744.396737
4.28,255022.1321,4208459.233,3782.061035,37.64268569,3744.418349
4.32,255022.1046,4208459.208,3782.076416,37.63470211,3744.441714
4.36,255022.0772,4208459.182,3782.089111,37.62671852,3744.462392
4.4,255022.0498,4208459.156,3782.097168,37.61873494,3744.478433
4.43,255022.0224,4208459.131,3782.109375,37.61274725,3744.496628
4.47,255021.995,4208459.105,3782.120361,37.60476367,3744.515597
4.51,255021.9676,4208459.079,3782.12915,37.59678009,3744.53237
4.55,255021.9402,4208459.053,3782.137451,37.5887965,3744.548654
4.58,255021.9128,4208459.028,3782.144775,37.58280882,3744.561966
4.62,255021.8854,4208459.002,3782.153076,37.57482524,3744.578251
4.66,255021.858,4208458.976,3782.161865,37.56684165,3744.595023
4.7,255021.8306,4208458.951,3782.17041,37.55885807,3744.611552
4.73,255021.8032,4208458.925,3782.179199,37.55287038,3744.626329
4.77,255021.7757,4208458.899,3782.189453,37.5448868,3744.644566
4.81,255021.7483,4208458.874,3782.198975,37.53690322,3744.662072
