x,E,N,z,h
3.61,255022.6254,4208459.696,3781.764893,37.776410697736
3.64,255022.598,4208459.67,3781.780029,37.7704230107242
3.68,255022.5706,4208459.644,3781.795898,37.7624394280418
3.72,255022.5432,4208459.619,3781.813477,37.7544558453595
3.76,255022.5158,4208459.593,3781.830811,37.7464722626771
3.79,255022.4884,4208459.567,3781.840088,37.7404845756653
3.83,255022.4609,4208459.542,3781.85791,37.7325009929829
3.87,255022.4335,4208459.516,3781.880859,37.7245174103005
3.91,255022.4061,4208459.49,3781.901855,37.7165338276182
3.94,255022.3787,4208459.465,3781.921387,37.7105461406064
3.98,255022.3513,4208459.439,3781.94043,37.702562557924
4.02,255022.3239,4208459.413,3781.95752,37.6945789752416
4.06,255022.2965,4208459.388,3781.974365,37.6865953925592
4.1,255022.2691,4208459.362,3781.990234,37.6786118098769
4.13,255022.2417,4208459.336,3782.005615,37.6726241228651
4.17,255022.2143,4208459.31,3782.018311,37.6646405401827
4.21,255022.1869,4208459.285,3782.031982,37.6566569575003
4.25,255022.1595,4208459.259,3782.04541,37.6486733748179
4.28,255022.1321,4208459.233,3782.061035,37.6426856878062
4.32,255022.1046,4208459.208,3782.076416,37.6347021051238
4.36,255022.0772,4208459.182,3782.089111,37.6267185224414
4.4,255022.0498,4208459.156,3782.097168,37.618734939759
4.43,255022.0224,4208459.131,3782.109375,37.6127472527472
4.47,255021.995,4208459.105,3782.120361,37.6047636700649
4.51,255021.9676,4208459.079,3782.12915,37.5967800873825
4.55,255021.9402,4208459.053,3782.137451,37.5887965047001
4.58,255021.9128,4208459.028,3782.144775,37.5828088176883
4.62,255021.8854,4208459.002,3782.153076,37.574825235006
4.66,255021.858,4208458.976,3782.161865,37.5668416523236
4.7,255021.8306,4208458.951,3782.17041,37.5588580696412
4.73,255021.8032,4208458.925,3782.179199,37.5528703826294
4.77,255021.7757,4208458.899,3782.189453,37.544886799947
4.81,255021.7483,4208458.874,3782.198975,37.5369032172647
4.85,255021.7209,4208458.848,3782.209229,37.5289196345823
4.88,255021.6935,4208458.822,3782.218994,37.5229319475705
4.92,255021.6661,4208458.797,3782.228271,37.5149483648881
4.96,255021.6387,4208458.771,3782.239258,37.5069647822057
5,255021.6113,4208458.745,3782.25,37.4989811995234
5.03,255021.5839,4208458.719,3782.257324,37.4929935125116
5.07,255021.5565,4208458.694,3782.267578,37.4850099298292
5.11,255021.5291,4208458.668,3782.276855,37.4770263471468
5.15,255021.5017,4208458.642,3782.2854,37.4690427644644
5.18,255021.4743,4208458.617,3782.294189,37.4630550774527
5.22,255021.4468,4208458.591,3782.302979,37.4550714947703
5.26,255021.4194,4208458.565,3782.311768,37.4470879120879
5.3,255021.392,4208458.54,3782.32251,37.4391043294055
5.33,255021.3646,4208458.514,3782.335205,37.4331166423937
5.37,255021.3372,4208458.488,3782.348877,37.4251330597114
5.41,255021.3098,4208458.463,3782.364746,37.417149477029
5.45,255021.2824,4208458.437,3782.382568,37.4091658943466
5.49,255021.255,4208458.411,3782.401855,37.4011823116642
5.52,255021.2276,4208458.385,3782.419922,37.3951946246524
5.56,255021.2002,4208458.36,3782.44043,37.3872110419701
5.6,255021.1728,4208458.334,3782.456543,37.3792274592877
5.64,255021.1454,4208458.308,3782.467529,37.3712438766053
5.67,255021.1179,4208458.283,3782.485596,37.3652561895935
5.71,255021.0905,4208458.257,3782.500732,37.3572726069112
5.75,255021.0631,4208458.231,3782.515137,37.3492890242288
5.79,255021.0357,4208458.206,3782.529297,37.3413054415464
5.82,255021.0083,4208458.18,3782.544189,37.3353177545346
5.86,255020.9809,4208458.154,3782.558838,37.3273341718522
5.9,255020.9535,4208458.128,3782.575928,37.3193505891699
5.94,255020.9261,4208458.103,3782.593018,37.3113670064875
5.97,255020.8987,4208458.077,3782.61084,37.3053793194757
6.01,255020.8713,4208458.051,3782.629639,37.2973957367933
6.05,255020.8439,4208458.026,3782.64624,37.2894121541109
6.09,255020.8165,4208458,3782.662109,37.2814285714286
6.12,255020.7891,4208457.974,3782.67627,37.2721802002225
6.16,255020.7616,4208457.949,3782.691895,37.2598490386143
6.2,255020.7342,4208457.923,3782.705078,37.2475178770062
6.24,255020.7068,4208457.897,3782.70874,37.2351867153981
6.27,255020.6794,4208457.872,3782.72168,37.225938344192
6.31,255020.652,4208457.846,3782.73291,37.2136071825838
6.35,255020.6246,4208457.82,3782.744141,37.2012760209757
6.39,255020.5972,4208457.794,3782.754883,37.1889448593675
6.42,255020.5698,4208457.769,3782.765381,37.1796964881614
6.46,255020.5424,4208457.743,3782.775879,37.1673653265533
6.5,255020.515,4208457.717,3782.787109,37.1550341649452
6.54,255020.4876,4208457.692,3782.797852,37.142703003337
6.57,255020.4602,4208457.666,3782.806885,37.1334546321309
6.61,255020.4327,4208457.64,3782.815186,37.1211234705228
6.65,255020.4053,4208457.615,3782.823975,37.1087923089147
6.69,255020.3779,4208457.589,3782.833008,37.0964611473065
6.72,255020.3505,4208457.563,3782.841553,37.0872127761004
6.76,255020.3231,4208457.537,3782.849854,37.0748816144923
6.8,255020.2957,4208457.512,3782.858643,37.0625504528841
6.84,255020.2683,4208457.486,3782.867188,37.050219291276
6.88,255020.2409,4208457.46,3782.869385,37.0378881296679
6.91,255020.2135,4208457.435,3782.878906,37.0286397584618
6.95,255020.1861,4208457.409,3782.887207,37.0163085968536
6.99,255020.1587,4208457.383,3782.895996,37.0039774352455
7.03,255020.1313,4208457.358,3782.903809,36.9916462736374
7.06,255020.1038,4208457.332,3782.91333,36.9823979024313
7.1,255020.0764,4208457.306,3782.921631,36.9700667408231
7.14,255020.049,4208457.281,3782.93042,36.957735579215
7.18,255020.0216,4208457.255,3782.939697,36.9454044176069
7.21,255019.9942,4208457.229,3782.949219,36.9361560464008
7.25,255019.9668,4208457.203,3782.959229,36.9238248847926
7.29,255019.9394,4208457.178,3782.96875,36.9114937231845
7.32,255019.9119,4208457.166,3782.973389,36.9022453519784
7.35,255019.8845,4208457.155,3782.983398,36.8929969807723
7.38,255019.857,4208457.143,3782.988281,36.8837486095662
7.41,255019.8296,4208457.132,3782.99292,36.8745002383601
7.44,255019.8021,4208457.12,3783.002686,36.865251867154
7.47,255019.7747,4208457.108,3783.006836,36.8560034959479
7.5,255019.7472,4208457.097,3783.015869,36.8467551247418
7.53,255019.7198,4208457.085,3783.019775,36.8375067535357
7.56,255019.6923,4208457.074,3783.028564,36.8282583823296
7.59,255019.6649,4208457.062,3783.031738,36.8190100111235
7.62,255019.6374,4208457.051,3783.0354,36.8097616399174
7.65,255019.61,4208457.039,3783.044434,36.8005132687113
7.68,255019.5825,4208457.027,3783.048096,36.7912648975052
7.71,255019.5551,4208457.016,3783.057129,36.7820165262991
7.74,255019.5276,4208457.004,3783.060303,36.772768155093
7.77,255019.5002,4208456.993,3783.070557,36.7635197838869
7.79,255019.4727,4208456.981,3783.074951,36.7573542030828
7.82,255019.4452,4208456.97,3783.079346,36.7481058318767
7.85,255019.4178,4208456.958,3783.089844,36.7388574606706
7.88,255019.3903,4208456.947,3783.093994,36.7296090894645
7.91,255019.3629,4208456.935,3783.104736,36.7203607182584
7.94,255019.3354,4208456.923,3783.110107,36.7111123470523
7.97,255019.308,4208456.912,3783.114502,36.7018639758462
8,255019.2805,4208456.9,3783.123291,36.6926156046401
8.03,255019.2531,4208456.889,3783.127686,36.683367233434
8.06,255019.2256,4208456.877,3783.13623,36.6741188622279
8.09,255019.1982,4208456.866,3783.139648,36.6648704910218
8.12,255019.1707,4208456.854,3783.147949,36.6556221198157
8.15,255019.1433,4208456.843,3783.151855,36.6463737486096
8.18,255019.1158,4208456.831,3783.155762,36.6371253774035
8.21,255019.0884,4208456.819,3783.162598,36.6278770061974
8.24,255019.0609,4208456.808,3783.165771,36.6186286349913
8.27,255019.0335,4208456.796,3783.171875,36.6093802637852
8.3,255019.006,4208456.785,3783.174316,36.600131892579
8.33,255018.9786,4208456.773,3783.179443,36.5908835213729
8.36,255018.9511,4208456.762,3783.182129,36.5816351501668
8.39,255018.9236,4208456.75,3783.184814,36.5723867789607
8.42,255018.8962,4208456.739,3783.19165,36.5631384077546
8.45,255018.8687,4208456.727,3783.195313,36.5538900365485
8.48,255018.8413,4208456.715,3783.203369,36.5446416653424
8.51,255018.8138,4208456.704,3783.207031,36.5353932941363
8.54,255018.7864,4208456.692,3783.217041,36.5261449229302
8.57,255018.7589,4208456.681,3783.221436,36.5168965517241
8.6,255018.7315,4208456.669,3783.226318,36.507648180518
8.63,255018.704,4208456.658,3783.237549,36.4983998093119
8.66,255018.6766,4208456.646,3783.242432,36.4891514381058
8.69,255018.6491,4208456.634,3783.253418,36.4799030668997
8.72,255018.6217,4208456.623,3783.258057,36.4706546956936
8.75,255018.5942,4208456.611,3783.263916,36.4614063244875
8.78,255018.5668,4208456.6,3783.273926,36.4521579532814
8.81,255018.5393,4208456.588,3783.278564,36.4429095820753
8.84,255018.5119,4208456.577,3783.287109,36.4336612108692
8.87,255018.4844,4208456.565,3783.290771,36.4244128396631
8.9,255018.4569,4208456.554,3783.298096,36.415164468457
8.93,255018.4295,4208456.542,3783.301758,36.4059160972509
8.96,255018.402,4208456.53,3783.30542,36.3966677260448
8.99,255018.3746,4208456.519,3783.311279,36.3874193548387
9.02,255018.3471,4208456.507,3783.314697,36.3781709836326
9.05,255018.3197,4208456.496,3783.31958,36.3689226124265
9.08,255018.2922,4208456.484,3783.32251,36.3596742412204
9.11,255018.2648,4208456.473,3783.32666,36.3504258700143
9.14,255018.2373,4208456.461,3783.327393,36.3411774988082
9.17,255018.2099,4208456.45,3783.328125,36.3319291276021
9.19,255018.1824,4208456.438,3783.329834,36.325763546798
9.22,255018.155,4208456.426,3783.330322,36.3165151755919
9.25,255018.1275,4208456.415,3783.331787,36.3072668043858
9.28,255018.1001,4208456.403,3783.332275,36.2980184331797
9.31,255018.0726,4208456.392,3783.333496,36.2887700619736
9.34,255018.0452,4208456.38,3783.33374,36.2795216907675
9.37,255018.0177,4208456.369,3783.333496,36.2702733195614
9.4,255017.9902,4208456.357,3783.334717,36.2610249483553
9.43,255017.9628,4208456.345,3783.334473,36.2517765771492
9.46,255017.9353,4208456.334,3783.335693,36.2425282059431
9.49,255017.9079,4208456.322,3783.334961,36.233279834737
9.52,255017.8804,4208456.311,3783.334473,36.2240314635309
9.55,255017.853,4208456.299,3783.334473,36.2147830923248
9.58,255017.8255,4208456.288,3783.332275,36.2055347211187
9.61,255017.7981,4208456.276,3783.332275,36.1962863499126
9.64,255017.7706,4208456.265,3783.329834,36.1870379787065
9.67,255017.7432,4208456.253,3783.330078,36.1777896075004
9.7,255017.7157,4208456.241,3783.327881,36.1685412362943
9.73,255017.6883,4208456.23,3783.325439,36.1592928650882
9.76,255017.6608,4208456.218,3783.325928,36.1500444938821
9.79,255017.6334,4208456.207,3783.324219,36.140796122676
9.82,255017.6059,4208456.195,3783.325195,36.1315477514699
9.85,255017.5785,4208456.184,3783.323242,36.1222993802638
9.88,255017.551,4208456.172,3783.325195,36.1130510090577
9.91,255017.5236,4208456.161,3783.323486,36.1038026378516
9.94,255017.4961,4208456.149,3783.322021,36.0945542666455
9.97,255017.4686,4208456.137,3783.324463,36.0853058954394
10,255017.4412,4208456.126,3783.323242,36.0760575242333
10.03,255017.4137,4208456.114,3783.32666,36.0668091530272
10.06,255017.3863,4208456.103,3783.325684,36.0575607818211
10.09,255017.3588,4208456.091,3783.325195,36.048312410615
10.12,255017.3314,4208456.08,3783.329102,36.0390640394089
10.15,255017.3039,4208456.068,3783.329102,36.0298156682028
10.18,255017.2765,4208456.057,3783.334473,36.0205672969967
10.21,255017.249,4208456.045,3783.334473,36.0113189257906
10.24,255017.2216,4208456.033,3783.341797,36.0020705545844
10.27,255017.1941,4208456.022,3783.343506,35.9928221833784
10.3,255017.1667,4208456.01,3783.343994,35.9835738121723
10.33,255017.1392,4208455.999,3783.35376,35.9743254409661
10.36,255017.1118,4208455.987,3783.354736,35.96507706976
10.39,255017.0843,4208455.976,3783.365967,35.9558286985539
10.42,255017.0569,4208455.964,3783.367188,35.9465803273478
10.45,255017.0294,4208455.952,3783.378418,35.9373319561417
10.48,255017.0019,4208455.941,3783.380371,35.9280835849356
10.51,255016.9745,4208455.929,3783.38208,35.9188352137295
10.54,255016.947,4208455.918,3783.391113,35.9095868425234
10.57,255016.9196,4208455.906,3783.394531,35.9003384713173
10.6,255016.8921,4208455.895,3783.405273,35.8910901001112
10.63,255016.8647,4208455.883,3783.40625,35.8818417289051
10.66,255016.8372,4208455.872,3783.414551,35.872593357699
10.69,255016.8098,4208455.86,3783.416504,35.8633449864929
10.72,255016.7823,4208455.848,3783.420166,35.8540966152868
10.75,255016.7549,4208455.837,3783.427979,35.8448482440807
10.78,255016.7274,4208455.825,3783.43042,35.8355998728746
10.81,255016.7,4208455.814,3783.439941,35.8263515016685
10.84,255016.6725,4208455.802,3783.442139,35.8171031304624
10.86287284,255016.6451,4208455.791,3783.445068,35.8100519133005
