"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,0.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,2.000,0.000,0.000,-2.000,0.000,32.300,"0x0",36619.16015625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
2,1.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,3.000,0.000,0.000,-1.000,0.000,32.300,"0x0",36649.79296875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
3,2.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,4.000,0.000,0.000,0.000,0.000,32.300,"0x0",36669.34375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
4,3.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,5.000,0.000,0.000,1.000,0.000,32.300,"0x0",36680.17578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
5,4.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,6.000,0.000,0.000,2.000,0.000,32.300,"0x0",36693.69921875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
6,5.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,7.000,0.000,0.000,3.000,0.000,32.300,"0x0",36704.67578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
7,6.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,8.000,0.000,0.000,4.000,0.000,32.300,"0x0",36715.77734375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
8,7.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,9.000,0.000,0.000,5.000,0.000,32.300,"0x0",36729.8984375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
9,8.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,10.000,0.000,0.000,6.000,0.000,32.300,"0x0",36747.8046875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
10,9.000,313,0.000,0,2,3200.000,64,0.0000000,0.0000000,0.0000000,0.000,11.000,0.000,0.000,7.000,0.000,32.300,"0x0",36765.1953125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
