"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,0.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,-0.500,0.000,0.000,0.500,0.000,63.500,"0x0",51324.578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
2,0.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,-0.250,0.000,0.000,0.750,0.000,63.500,"0x0",51330.38671875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
3,0.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,1.000,0.000,63.500,"0x0",51335.953125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
4,0.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.250,0.000,0.000,1.250,0.000,63.500,"0x0",51340.140625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
5,1.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.500,0.000,0.000,1.500,0.000,63.500,"0x0",51343.62109375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
6,1.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.750,0.000,0.000,1.750,0.000,63.500,"0x0",51346.8203125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
7,1.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.000,0.000,0.000,2.000,0.000,63.500,"0x0",51350.7109375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
8,1.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.250,0.000,0.000,2.250,0.000,63.500,"0x0",51354.984375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
9,2.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.500,0.000,0.000,2.500,0.000,63.500,"0x0",51360.15234375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
10,2.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.750,0.000,0.000,2.750,0.000,63.500,"0x0",51364.078125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
11,2.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.000,0.000,0.000,3.000,0.000,63.500,"0x0",51367.83984375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
12,2.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.250,0.000,0.000,3.250,0.000,63.500,"0x0",51371.4296875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
13,3.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.500,0.000,0.000,3.500,0.000,63.500,"0x0",51376.86328125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
14,3.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,2.750,0.000,0.000,3.750,0.000,63.500,"0x0",51382.33203125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
15,3.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.000,0.000,0.000,4.000,0.000,63.500,"0x0",51386.42578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
16,3.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.250,0.000,0.000,4.250,0.000,63.500,"0x0",51392.765625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
17,4.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.500,0.000,0.000,4.500,0.000,63.500,"0x0",51398.87890625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
18,4.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,3.750,0.000,0.000,4.750,0.000,63.500,"0x0",51404.15234375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
19,4.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,4.000,0.000,0.000,5.000,0.000,63.500,"0x0",51409.0234375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
20,4.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,4.250,0.000,0.000,5.250,0.000,63.500,"0x0",51412.50390625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
21,5.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,4.500,0.000,0.000,5.500,0.000,63.500,"0x0",51419.53125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
22,5.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,4.750,0.000,0.000,5.750,0.000,63.500,"0x0",51423.91015625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
23,5.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,5.000,0.000,0.000,6.000,0.000,63.500,"0x0",51429.12890625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
24,5.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,5.250,0.000,0.000,6.250,0.000,63.500,"0x0",51433.015625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
25,6.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,5.500,0.000,0.000,6.500,0.000,63.500,"0x0",51441.36328125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
26,6.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,5.750,0.000,0.000,6.750,0.000,63.500,"0x0",51446.0546875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
27,6.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,6.000,0.000,0.000,7.000,0.000,63.500,"0x0",51451.05078125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
28,6.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,6.250,0.000,0.000,7.250,0.000,63.500,"0x0",51455.30078125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
29,7.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,6.500,0.000,0.000,7.500,0.000,63.500,"0x0",51460.69140625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
30,7.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,6.750,0.000,0.000,7.750,0.000,63.500,"0x0",51465.421875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
31,7.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,7.000,0.000,0.000,8.000,0.000,63.500,"0x0",51470.1171875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
32,7.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,7.250,0.000,0.000,8.250,0.000,63.500,"0x0",51473.67578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
33,8.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,7.500,0.000,0.000,8.500,0.000,63.500,"0x0",51476.75,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
34,8.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,7.750,0.000,0.000,8.750,0.000,63.500,"0x0",51480.11328125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
35,8.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,8.000,0.000,0.000,9.000,0.000,63.500,"0x0",51483.4140625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
36,8.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,8.250,0.000,0.000,9.250,0.000,63.500,"0x0",51487.32421875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
37,9.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,8.500,0.000,0.000,9.500,0.000,63.500,"0x0",51490.46484375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
38,9.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,8.750,0.000,0.000,9.750,0.000,63.500,"0x0",51493.37109375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
39,9.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,9.000,0.000,0.000,10.000,0.000,63.500,"0x0",51497.3046875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
40,9.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,9.250,0.000,0.000,10.250,0.000,63.500,"0x0",51500.7421875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
41,10.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,9.500,0.000,0.000,10.500,0.000,63.500,"0x0",51505.2734375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
42,10.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,9.750,0.000,0.000,10.750,0.000,63.500,"0x0",51508.609375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
43,10.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,10.000,0.000,0.000,11.000,0.000,63.500,"0x0",51512.26171875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
44,10.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,10.250,0.000,0.000,11.250,0.000,63.500,"0x0",51516.90625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
45,11.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,10.500,0.000,0.000,11.500,0.000,63.500,"0x0",51522.31640625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
46,11.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,10.750,0.000,0.000,11.750,0.000,63.500,"0x0",51525.4296875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
47,11.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,11.000,0.000,0.000,12.000,0.000,63.500,"0x0",51530.43359375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
48,11.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,11.250,0.000,0.000,12.250,0.000,63.500,"0x0",51533.60546875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
49,12.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,11.500,0.000,0.000,12.500,0.000,63.500,"0x0",51539.4609375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
50,12.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,11.750,0.000,0.000,12.750,0.000,63.500,"0x0",51545.43359375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
51,12.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,12.000,0.000,0.000,13.000,0.000,63.500,"0x0",51548.86328125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
52,12.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,12.250,0.000,0.000,13.250,0.000,63.500,"0x0",51553.14453125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
53,13.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,12.500,0.000,0.000,13.500,0.000,63.500,"0x0",51559.17578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
54,13.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,12.750,0.000,0.000,13.750,0.000,63.500,"0x0",51564.75,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
55,13.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,13.000,0.000,0.000,14.000,0.000,63.500,"0x0",51568.62890625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
56,13.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,13.250,0.000,0.000,14.250,0.000,63.500,"0x0",51574.2265625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
57,14.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,13.500,0.000,0.000,14.500,0.000,63.500,"0x0",51582.90234375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
58,14.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,13.750,0.000,0.000,14.750,0.000,63.500,"0x0",51594.39453125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
